time,route,health,x,y,z,holdout,holdout_time,police,shots,drift
34.54124,269.4162,5660,-426.9922,0.128,-471.0954,False,0,0,139,0
34.80726,271.6003,5660,-426.5249,0.128,-468.8169,False,0,0,140,0
35.07407,273.6284,5660,-426.1141,0.128,-466.7103,False,0,0,141,0
35.34113,275.6565,5660,-425.722,0.128,-464.5979,False,0,0,142,0
35.60747,277.8405,5660,-425.3259,0.128,-462.3422,False,0,0,143,0
35.87434,279.8686,5660,-424.9814,0.128,-460.2453,False,0,0,144,0
36.14231,281.8967,5660,-424.6598,0.128,-458.1625,False,0,0,145,0
36.40693,284.0808,5660,-424.342,0.128,-455.9253,False,0,0,146,0
36.67551,286.1089,5660,-424.0722,0.128,-453.8562,False,0,0,147,0
36.94082,288.1369,5660,-423.8294,0.128,-451.799,False,0,0,148,0
37.208,290.321,5660,-423.5971,0.128,-449.5901,False,0,0,149,0
37.4742,292.3491,5660,-423.4102,0.128,-447.5529,False,0,0,150,0
37.74114,294.3772,5660,-423.2513,0.128,-445.5218,False,0,0,152,0
38.00812,296.5612,5660,-423.1113,0.128,-443.3459,False,0,0,153,0
38.27511,298.5893,5660,-423.0116,0.128,-441.3341,False,0,0,154,0
38.5401,300.6174,5660,-422.9406,0.128,-439.3289,False,0,0,155,0
38.80688,302.8015,5660,-422.8971,0.128,-437.1789,False,0,0,156,0
39.07421,304.8296,5660,-422.8871,0.128,-435.1866,False,0,0,157,0
39.34185,306.8576,5660,-422.9065,0.128,-433.2006,False,0,0,158,0
39.60918,309.0417,5660,-422.9606,0.128,-431.0647,False,0,0,159,0
39.8767,311.0698,5660,-423.0361,0.12,-429.0452,False,0,0,160,0
40.14028,313.0979,5355,-423.1019,0.12,-426.9916,False,0,0,161,0
40.40735,315.282,5355,-423.154,0.12,-424.7777,False,0,0,162,0
40.6761,317.31,5355,-423.1821,0.12,-422.7206,False,0,0,163,0
40.94132,319.3381,5355,-423.1965,0.12,-420.6792,False,0,0,164,0
41.23578,321.6782,5355,-423.2038,0.12,-418.3218,False,0,0,166,0
41.50352,323.8623,5355,-423.201,0.12,-416.1329,False,0,0,167,0
41.7691,325.8904,5355,-423.2,0.12,-414.1096,False,0,0,168,0
42.03571,327.9184,5355,-423.2,0.12,-412.0816,False,0,0,169,0
42.30243,330.1025,5355,-423.2,0.12,-409.8975,False,0,0,170,0
42.56939,332.1306,5355,-423.2,0.12,-407.8694,False,0,0,171,0
42.83468,334.1587,5355,-423.2,0.12,-405.8413,False,0,0,172,0
43.10288,336.3427,5355,-423.2,0.12,-403.6573,False,0,0,173,0
43.36869,338.3708,5355,-423.2,0.12,-401.6292,False,0,0,174,0
43.63415,340.3989,5355,-423.2,0.12,-399.6011,False,0,0,175,0
43.90124,342.427,5355,-423.2,0.12,-397.573,False,0,0,176,0
44.16993,344.6111,5355,-423.2,0.12,-395.3889,False,0,0,177,0
44.43637,346.6391,5355,-423.2,0.12,-393.3609,False,0,0,178,0
44.70354,348.8232,5355,-423.2,0.12,-391.1768,False,0,0,179,0
44.96841,350.8513,5355,-423.2011,0.12,-389.1551,False,0,0,180,0
45.23542,352.8794,5355,-423.2067,0.12,-387.1185,False,0,0,182,0
45.50233,354.9074,5355,-423.2007,0.12,-385.0647,False,0,0,183,0
45.76794,357.0915,5355,-423.176,0.12,-382.8841,False,0,0,184,0
46.03635,359.1196,5355,-423.132,0.12,-380.8503,False,0,0,185,0
46.30412,361.3037,5355,-423.043,0.12,-378.6862,False,0,0,186,0
46.56873,363.3318,5355,-422.9255,0.12,-376.7166,False,0,0,187,0
46.83458,365.3598,5355,-422.7753,0.12,-374.777,False,0,0,188,0
47.10296,367.5439,5355,-422.5768,0.12,-372.7215,False,0,0,189,0
47.36706,369.572,5355,-422.3581,0.12,-370.8438,False,0,0,190,0
47.63406,371.6001,5355,-422.1064,0.12,-368.9963,False,0,0,191,0
47.90134,373.6281,5355,-421.8216,0.12,-367.1786,False,0,0,192,0
